created_at,text,Polarity,Subjectivity
Mon Apr 18 18:42:14 +0000 2016,"RT @ClassicJams: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/mCp7jjqZ6E",-0.4,0.6
Mon Apr 18 18:42:14 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:14 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:15 +0000 2016,Hillary Clinton is totally beatable in a general election. Just not by Donald Trump or Ted Cruz. https://t.co/ybOzZ214e4,0.02500000000000001,0.625
Mon Apr 18 18:42:15 +0000 2016,"@warrenwarmachi1, @Donald J. Trump, part 1 agreed, bashing Trump isn't good.  Reasonably aborting clinton, sanders,  crud, and if theres",0.44999999999999996,0.6000000000000001
Mon Apr 18 18:42:17 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:17 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:17 +0000 2016,"RT @W0RLDSTARCOMEDY: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/tvWrXmQyHN",[0.164293],0.0
Mon Apr 18 18:42:17 +0000 2016,Would Donald J Trump wear jean shorts? I'd definitely identify with him more if he did. #DonaldTrump #QuadsAgainstAllOdds,0.25,0.5
Mon Apr 18 18:42:17 +0000 2016,Today I was Donald Trump'd,0.0,0.0
Mon Apr 18 18:42:17 +0000 2016,New Video: YG &amp; Nipsey Hussle FDT (F#ck Donald Trump). https://t.co/ne4WhnstA3 https://t.co/7WAo6Dsy50,0.13636363636363635,0.45454545454545453
Mon Apr 18 18:42:18 +0000 2016,"RT @WORIDSTARVlDEOS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/QNMCgpZfF7",[0.164293],0.0
Mon Apr 18 18:42:18 +0000 2016,RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news. https://t.co/u39nNMcgai,-0.6499999999999999,1.0
Mon Apr 18 18:42:18 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:19 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:20 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:20 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:20 +0000 2016,Donald Trump to receive a Rex Ryan welcome to Buffalo https://t.co/5NHOoNL6cw,0.8,0.9
Mon Apr 18 18:42:20 +0000 2016,Had a bad day? Have a laugh: Donald Trump: 25 things the Republican believes - https://t.co/2XxzO9Wtnv,-0.19999999999999993,0.3833333333333333
Mon Apr 18 18:42:21 +0000 2016,"RT @DailyRapFacts: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/ofqrDS0JL3",[0.164293],0.0
Mon Apr 18 18:42:21 +0000 2016,RT @OOTLYFE: YG &amp; Nipsey Hussle - FDT [F*ck Donald Trump] (Music Video) [@YG @NipseyHussle] https://t.co/NG9YQIKrVO https://t.co/ZkpsY21jU5,[0.155855],0.0
Mon Apr 18 18:42:21 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:21 +0000 2016,#TrumpCampaignNews #NYC Voters Say #DonaldTrump Is The Most Authentic New Yorker https://t.co/5HJeQ1CRiA,0.37878787878787873,0.5681818181818182
Mon Apr 18 18:42:22 +0000 2016,"RT @natemezmer: 30,000 chanting ""Fuck Donald Trump"" at #Coachella... Shouts out @YG https://t.co/K3Uv6xt4Hn",-0.4,0.6
Mon Apr 18 18:42:22 +0000 2016,"RT @ClassicJams: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/mCp7jjqZ6E",-0.4,0.6
Mon Apr 18 18:42:23 +0000 2016,"RT @W0RLDSTARC0MEDY: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/V0DOJ7FNNX",[0.164293],0.0
Mon Apr 18 18:42:23 +0000 2016,RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news. https://t.co/u39nNMcgai,-0.6499999999999999,1.0
Mon Apr 18 18:42:23 +0000 2016,Fuck Donald Trump,-0.4,0.6
Mon Apr 18 18:42:24 +0000 2016,"RT @RlDICULOUSNESS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/VLEnGGM4kZ",[0.164293],0.0
Mon Apr 18 18:42:24 +0000 2016,This is the best thing I've seen ever  https://t.co/yI10o5PPQm,1.0,0.3
Mon Apr 18 18:42:24 +0000 2016,"And he'll win because Cruz is a near mirror image of Indiana's current gov, whom everyone now hates with a passion. https://t.co/5MQkynfdkw",0.3,0.4000000000000001
Mon Apr 18 18:42:24 +0000 2016,"RT @HotFreestyle: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/mUlCZ6DIp2",[0.164293],0.0
Mon Apr 18 18:42:24 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:25 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:25 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:25 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:26 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:26 +0000 2016,RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news. https://t.co/u39nNMcgai,-0.6499999999999999,1.0
Mon Apr 18 18:42:26 +0000 2016,Kim Jong wants to be his VP https://t.co/a1aBSiTy4a,0.2,0.1
Mon Apr 18 18:42:27 +0000 2016,"RT @sexualgifs_: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/nxpn1GAai5",-0.4,0.6
Mon Apr 18 18:42:27 +0000 2016,A Marxist In The Making https://t.co/Ej1uNPMFy7,[0.484454],0.0
Mon Apr 18 18:42:28 +0000 2016,"RT @j2yngr: And ""AMEN"" to that! https://t.co/3wDHSauYEH",[0.484454],0.0
Mon Apr 18 18:42:29 +0000 2016,"RT @DailyRapFacts: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/ofqrDS0JL3",[0.164293],0.0
Mon Apr 18 18:42:29 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:29 +0000 2016,"RT @sexualgifs_: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/nxpn1GAai5",-0.4,0.6
Mon Apr 18 18:42:30 +0000 2016,RT @1065WYRK: Rex Ryan Will Introduce Donald Trump at Tonight's Rally https://t.co/3QL78OADgS,[0.451397],0.0
Mon Apr 18 18:42:30 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:30 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:30 +0000 2016,RT @RUCKlN: Donald Trump winning states just shows us that America is still hella racist almost 50 years after the civil rights movement.,0.5,0.75
Mon Apr 18 18:42:31 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:31 +0000 2016,"RT @DailyRapFacts: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/ofqrDS0JL3",[0.164293],0.0
Mon Apr 18 18:42:31 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:31 +0000 2016,RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news. https://t.co/u39nNMcgai,-0.6499999999999999,1.0
Mon Apr 18 18:42:31 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:32 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:32 +0000 2016,Good 3 Minute Read (By Interviewer Of DT)...  True: Donald Trump Is Really Smart https://t.co/hLLwVMsgOz #Women4Trump,0.4214285714285713,0.6309523809523809
