             x               y
      0.0289315       0.388928
       0.382488       0.575213
       0.794702       0.289712
       0.204993       0.175634
       0.861934       0.265694
       0.394635       0.302805
       0.245552       0.258675
       0.665487       0.695944
       0.584033       0.285745
       0.669973       0.786889
       0.914029       0.739128
       0.224036       0.649709
        0.94763       0.180212
      0.0501114       0.397046
     0.00750755       0.159246
       0.443525       0.805383
       0.276498      0.0910978
       0.769433       0.449812
        0.51793       0.719474
       0.195563       0.130131
        0.92291       0.199957
       0.568194       0.868801
       0.240883       0.333598
       0.836238       0.262734
       0.849513       0.982025
       0.931028       0.469802
       0.920377       0.195441
       0.506912       0.611103
       0.336497       0.084933
       0.449995       0.870968
       0.518296       0.970061
       0.560045      0.0749229
       0.813654        0.83282
       0.313089      0.0279855
       0.608997       0.610187
       0.109897       0.393445
       0.817225       0.354991
       0.917356       0.394269
        0.89877       0.797784
       0.708396       0.117924
      0.0721458       0.340037
       0.607227       0.705985
       0.870388      0.0103153
       0.145787       0.209571
       0.698965       0.414655
       0.537797       0.392376
       0.552599       0.212165
       0.376598        0.26191
       0.545854       0.147526
       0.663167       0.610767
       0.414808       0.171056
       0.570299       0.348613
        0.64568       0.678274
       0.849605       0.906796
       0.386456       0.399487
       0.287057       0.496109
        0.79812       0.971374
       0.113895       0.499619
     0.00152593       0.721122
       0.778619       0.781304
       0.276437       0.694967
       0.986694       0.191961
       0.668294       0.462081
       0.413984      0.0540178
       0.659902       0.724937
    0.000549333       0.905393
      0.0635395       0.267617
       0.230323       0.284951
       0.790368       0.273598
       0.303659       0.840236
       0.652425       0.543291
       0.608661       0.538163
       0.854732       0.643818
       0.397565       0.261116
       0.332713       0.521378
      0.0745567       0.568682
       0.591662       0.607776
    0.000885037       0.906766
       0.204474       0.952452
       0.224189      0.0452589
       0.623768       0.410962
      0.0374462      0.0253609
       0.464675       0.421583
       0.774834       0.398053
        0.91464       0.400952
       0.749504       0.034669
       0.426435       0.289926
       0.740776       0.291177
       0.350688       0.281472
       0.936033       0.807093
         0.6639       0.260994
       0.734092        0.72042
       0.448561       0.991241
       0.316141       0.579943
       0.281564       0.572161
       0.390454       0.735893
       0.186773       0.207801
      0.0172124       0.490555
       0.308786       0.810938
       0.919828       0.789697
       0.963012       0.476608
       0.188299       0.736442
       0.219459       0.356487
       0.782281       0.708548
       0.675893        0.96469
       0.738304       0.360454
       0.576434        0.44612
       0.488876       0.291452
       0.932402       0.839717
       0.199194        0.66097
       0.801111        0.86642
       0.527268       0.532395
       0.379437       0.273965
        0.71456       0.226905
      0.0678426       0.269875
       0.412641        0.46794
       0.161321      0.0730308
       0.152623       0.598132
        0.32374       0.116276
       0.863369       0.649892
        0.50145        0.92996
       0.344646       0.550371
       0.432844       0.239021
       0.101871       0.242958
       0.409528       0.303842
       0.448164     0.00552385
       0.445967      0.0365612
       0.280404        0.74752
       0.513504         0.9241
       0.435316       0.566729
       0.995056       0.288888
      0.0318308       0.347056
      0.0166936       0.919095
       0.706107       0.678579
       0.812738       0.598773
       0.145329       0.881039
       0.779778       0.570147
       0.826624       0.412244
       0.376934       0.458327
        0.36726       0.442366
       0.527726       0.690512
       0.392407       0.875637
       0.680319       0.940367
       0.326884       0.600269
       0.181982       0.629139
      0.0166936       0.248543
        0.12479      0.0147099
       0.587268       0.247658
       0.317484       0.899686
        0.44377       0.442885
       0.541215       0.489822
       0.820856        0.07416
        0.74453       0.434339
       0.787042       0.387707
        0.33375       0.578936
       0.110446       0.663381
       0.215949       0.462874
       0.892544       0.939482
       0.749443      0.0916471
        0.37492       0.215857
       0.259194      0.0162969
       0.827143       0.417127
       0.272744       0.250343
        0.91995       0.896573
       0.133183      0.0561235
       0.491806       0.762383
       0.145146       0.131443
       0.113773       0.807611
        0.91055       0.227851
       0.359844       0.324656
     0.00958281       0.731925
       0.188177       0.585894
       0.684378       0.240272
       0.340342       0.271493
       0.680013       0.660665
       0.164037       0.625813
       0.900601       0.869076
       0.766228       0.623493
      0.0358592          0.455
       0.902219       0.926756
       0.814722       0.585925
       0.507675        0.91464
      0.0417798       0.521928
       0.279275       0.565996
      0.0739769       0.812281
       0.210425       0.477248
       0.892026       0.704611
       0.488388       0.796136
       0.424482       0.798395
       0.658986       0.352428
       0.279824       0.473769
        0.46498       0.767846
       0.542955       0.127079
       0.264901       0.824946
       0.792291       0.744163
       0.437635        0.87759
       0.994079       0.842799
       0.680136       0.583483
        0.42964       0.315806
       0.603687       0.740196
       0.312265        0.20539
       0.535264       0.505905
       0.249794       0.940641
       0.930235       0.786462
        0.20893      0.0690634
       0.302744      0.0692465
       0.138066      0.0136418
      0.0797449       0.485977
       0.904355       0.886319
       0.285318        0.38496
       0.701468       0.889523
       0.461013       0.194617
