             x               y
      0.0710166        0.82931
       0.284402       0.431928
       0.842799       0.373791
      0.0188299        0.28312
       0.651265       0.285958
       0.998108      0.0126041
      0.0176092       0.852443
       0.311899     0.00207526
       0.344188       0.723991
       0.934294      0.0508133
       0.569567       0.575762
        0.86758       0.568285
       0.715842       0.089877
       0.319834       0.666952
        0.73513      0.0414441
       0.571795       0.186865
       0.560808       0.769341
        0.68923       0.183111
       0.770379       0.813166
       0.737541       0.907376
       0.765648       0.997192
       0.654317       0.814753
       0.876919       0.743187
       0.436628       0.627583
       0.297159       0.892697
         0.7987       0.986785
        0.25251       0.820338
       0.956816       0.722495
       0.315531       0.119633
       0.697287       0.275155
       0.266915       0.642232
       0.383831       0.298135
       0.412763       0.171606
      0.0608844       0.973296
       0.762719       0.513321
       0.308481      0.0705588
       0.975951       0.282022
     0.00570696       0.283303
       0.480972       0.167302
       0.658498       0.869747
       0.675405       0.959288
        0.44792       0.132664
       0.612171       0.114872
       0.655751       0.768334
      0.0781274       0.146947
       0.623035       0.615375
       0.471847       0.616352
        0.89819        0.83581
       0.385968     0.00903348
       0.730674       0.058504
       0.301462       0.279305
       0.566881       0.517197
        0.29899       0.339946
       0.703909       0.713523
        0.19425        0.28132
        0.75808       0.637043
      0.0036317        0.59978
       0.103885      0.0727866
       0.145787       0.217536
       0.940214      0.0283212
       0.286111        0.57445
       0.139317       0.810938
       0.229926       0.573412
       0.535905       0.786431
       0.770714       0.660756
       0.811121       0.351146
       0.899625        0.82223
       0.629139       0.147801
       0.282876       0.776696
       0.181707      0.0567644
       0.412549       0.147893
       0.797082       0.994201
       0.337718       0.896512
       0.769768      0.0476089
          0.382       0.792596
      0.0672018       0.981323
       0.753258       0.210883
      0.0696738       0.641316
       0.452651      0.0292673
       0.999481       0.292825
        0.38847       0.912137
       0.196051       0.419813
       0.101321       0.759545
       0.893033      0.0193182
      0.0069277       0.604175
       0.653279       0.920774
       0.562822       0.736106
       0.118564       0.162114
        0.26487       0.337962
       0.229987       0.953887
       0.880581       0.410596
       0.575182       0.262154
       0.824458       0.271432
      0.0187689       0.542375
      0.0825526        0.40611
       0.272469       0.654073
        0.59209       0.954833
       0.560503       0.489364
        0.48204       0.614917
      0.0374462        0.34489
      0.0817896       0.240608
       0.113926       0.569384
       0.103336       0.921171
       0.346782       0.518021
        0.90347       0.818903
      0.0502335       0.344493
       0.232582       0.548357
       0.283639       0.662252
       0.375927       0.377422
       0.372662       0.606098
      0.0935392      0.0322275
         0.6198        0.32551
       0.265542       0.386761
        0.36079       0.440901
       0.648457       0.818323
      0.0226447       0.493851
       0.649312       0.510483
       0.340312       0.922788
       0.523606       0.484512
        0.38728       0.595355
       0.903134        0.64037
       0.577441       0.428785
      0.0603351       0.588916
       0.293435       0.129032
        0.81521       0.556383
