             x               y
       0.617267       0.386425
      0.0161748       0.554888
       0.435621       0.460646
       0.410535       0.905454
       0.628712       0.609912
       0.388684       0.859279
       0.604389       0.665609
       0.790826       0.392376
       0.444716       0.850948
      0.0397046       0.459609
       0.115909       0.275552
       0.281503       0.697165
       0.985107       0.510392
       0.286264       0.846248
       0.174902       0.648885
       0.889401       0.553331
       0.787378       0.760674
       0.255531        0.70394
       0.527818       0.144108
       0.745842       0.945585
 The estimated value of pi using Monte Carlo Calculation is 3.2000000000
